,Random Forest,PCA + LDA,Scratch CNN,MobileNet Transfer
battery,0.4927536231884058,0.5364238410596026,0.6096256684491979,0.9395973154362416
biological,0.2635135135135135,0.32019704433497537,0.7516339869281046,0.9666666666666667
brown-glass,0.30303030303030304,0.21875,0.8333333333333334,0.9642857142857143
cardboard,0.3333333333333333,0.3375796178343949,0.8102189781021898,0.9185185185185185
clothes,0.7935560859188544,0.9052478134110787,0.9389920424403183,0.9911838790931989
green-glass,0.43636363636363634,0.2909090909090909,0.9247311827956989,0.956989247311828
metal,0.33064516129032256,0.24786324786324787,0.5333333333333333,0.7674418604651163
paper,0.3805668016194332,0.5113636363636364,0.6318407960199005,0.8980891719745223
plastic,0.4461538461538462,0.4107142857142857,0.6515151515151515,0.848
shoes,0.6233766233766234,0.6163265306122448,0.8132295719844358,0.9508196721311475
trash,0.43859649122807015,0.3821138211382114,0.7383177570093458,0.9791666666666666
white-glass,0.5,0.325,0.6893203883495146,0.8738738738738738
